show_id,type,title,director,date_added
s453,Movie,A Perfect Fit,Hadrah Daeng Ratu,"July 15, 2021"
s535,Movie,Si Doel the Movie 2,Rano Karno,"July 6, 2021"
s1091,Movie,Story of Kale: When Someone's in Love,Angga Dwimas Sasongko,"April 8, 2021"
s1137,Movie,Tersanjung the Movie,"Hanung Bramantyo, Pandu Adjisurya","April 1, 2021"
s1222,Movie,Generasi 90an: Melankolia,Mohammad Irfan Ramly,"March 11, 2021"
s1415,Movie,The Heartbreak Club,"Charles Gozali, Bagus Bramanti","January 14, 2021"
s1434,Movie,100% Halal,Jastis Arimba,"January 7, 2021"
s1475,Movie,Tarung Sarung,Archie Hekagery,"December 31, 2020"
s1476,Movie,Too Handsome to Handle,Sabrina Rochelle Kalangie,"December 31, 2020"
s1496,Movie,Bridezilla,Andibachtiar Yusuf,"December 24, 2020"
s1497,Movie,Cemara's Family,Yandy Laurens,"December 24, 2020"
